Exercise,Difficulty Level,Primary Equipment,Prime Mover Muscle,Secondary Muscle,Body Region
Double Dumbbell Overhead Alternating Russian Step Up,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Overhead Contralateral Russian Step Up,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Overhead Alternating Russian Step Up,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Overhead Russian Step Up,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Suitcase Contralateral Russian Step Up,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Suitcase Ipsilateral Russian Step Up,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Overhead Ipsilateral Russian Step Up,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Clubbell Order Russian Step Up,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Clubbell Order Alternating Russian Step Up,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Clubbell Order Contralateral Russian Step Up,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Clubbell Order Ipsilateral Russian Step Up,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Alternating Russian Step Up,Novice,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Russian Step Up,Novice,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Clubbell Order Russian Step Up,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Clubbell Order Alternating Russian Step Up,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Back Rack Alternating Russian Step Up,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Front Rack Alternating Russian Step Up,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Suitcase Alternating Russian Step Up,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Front Rack Russian Step Up,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Overhead Russian Step Up,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Front Rack Contralateral Russian Step Up,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Front Rack Ipsilateral Russian Step Up,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Macebell Order Contralateral Russian Step Up,Novice,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Macebell Order Ipsilateral Russian Step Up,Novice,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Macebell Order Russian Step Up,Novice,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Macebell Order Alternating Russian Step Up,Novice,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Zercher Russian Step Up,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Zercher Alternating Russian Step Up,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bulgarian Bag Back Rack Russian Step Up,Novice,Bulgarian Bag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bulgarian Bag Back Rack Alternating Russian Step Up,Novice,Bulgarian Bag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Back Rack Russian Step Up,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Back Rack Alternating Russian Step Up,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Front Rack Russian Step Up,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Front Rack Alternating Russian Step Up,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Plate Overhead Russian Step Up,Intermediate,Weight Plate,Quadriceps Femoris,Gluteus Maximus,Lower Body
Plate Overhead Alternating Russian Step Up,Intermediate,Weight Plate,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Front Rack Alternating Russian Step Up,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Front Rack Alternating Russian Step Up,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Overhead Alternating Russian Step Up,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Overhead Alternating Russian Step Up,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Suitcase Alternating Russian Step Up,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Goblet Russian Step Up,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Goblet Alternating Russian Step Up,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Dumbbell Goblet Russian Step Up,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Dumbbell Goblet Alternating Russian Step Up,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Horn Grip Russian Step Up,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Horn Grip Alternating Russian Step Up,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Miniband Hip Thrust,Beginner,Miniband,Gluteus Maximus,Biceps Femoris,Lower Body
Heavy Sandbag Bear Hug Step Up,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Heavy Sandbag Bear Hug Alternating Step Up,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Heavy Sandbag Bear Hug Russian Step Up,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Heavy Sandbag Bear Hug Alternating Russian Step Up,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Alternating Single Arm Macebell Reverse Mill,Advanced,Macebell,Posterior Deltoids,Rectus Abdominis,Upper Body
Ring Grip Straddle Planche,Grand Master,Gymnastic Rings,Rectus Abdominis,,Full Body
Single Arm Kettlebell Dead Clean to Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,,Full Body
Single Arm Kettlebell Dead Clean to Push Press,Intermediate,Kettlebell,Anterior Deltoids,,Full Body
Single Arm Kettlebell Clean to Front Rack Ipsilateral Reverse Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Full Body
Single Arm Kettlebell Clean to Front Rack Ipsilateral Forward Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Full Body
Single Arm Kettlebell Dead Clean to Push Jerk,Intermediate,Kettlebell,Anterior Deltoids,,Full Body
Double Kettlebell Dead Clean to Push Jerk,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Full Body
Single Arm Kettlebell Bottoms Up Dead Clean,Intermediate,Kettlebell,Gluteus Maximus,Biceps Femoris,Full Body
Alternating Single Arm Kettlebell Bottoms Up Dead Clean,Intermediate,Kettlebell,Gluteus Maximus,Biceps Femoris,Full Body
Single Arm Kettlebell Dead Clean to Front Rack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Full Body
Single Arm Kettlebell Dead Clean to Thruster,Intermediate,Kettlebell,Anterior Deltoids,Quadriceps Femoris,Full Body
Alternating Single Arm Kettlebell Dead Clean to Thruster,Intermediate,Kettlebell,Anterior Deltoids,Quadriceps Femoris,Full Body
Alternating Single Arm Kettlebell Dead Clean to Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,,Full Body
Alternating Single Arm Kettlebell Dead Clean to Push Press,Intermediate,Kettlebell,Anterior Deltoids,,Full Body
Alternating Single Arm Kettlebell Dead Clean to Push Jerk,Intermediate,Kettlebell,Anterior Deltoids,,Full Body
Alternating Single Arm Kettlebell Dead Clean to Front Rack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Full Body
Single Arm Macebell Bull Whip to Mill,Advanced,Macebell,Posterior Deltoids,Rectus Abdominis,Upper Body
Double Kettlebell Bottoms Up Overhead Split Squat,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Heavy Sandbag Bear Hug Kang Squat,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Feet Elevated Renegade Row,Advanced,Dumbbell,Latissimus Dorsi,,Upper Body
Double Dumbbell Feet Elevated Renegade Row to Push Up,Advanced,Dumbbell,Latissimus Dorsi,,Upper Body
Double Dumbbell Suitcase Forward Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Front Rack Forward Lunge,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Overhead Forward Lunge,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Heavy Sandbag Bear Hug Forward Lunge,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Full Body
Heavy Sandbag Shoulder Contralateral Forward Lunge,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Back Rack Forward Lunge,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Suitcase Forward Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Front Rack Forward Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Front Rack Forward Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Front Rack Forward Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Overhead Forward Lunge,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Suitcase Contralateral Forward Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Front Rack Contralateral Forward Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Overhead Contralateral Forward Lunge,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Overhead Forward Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Dumbbell Goblet Forward Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Clubbell Order Forward Lunge,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Clubbell Order Forward Lunge,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Clubbell Order Contralateral Forward Lunge,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Macebell Order Forward Lunge,Novice,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Overhead Forward Lunge,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Suitcase Contralateral Forward Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Forward Lunge,Beginner,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bulgarian Bag Back Rack Forward Lunge,Novice,Bulgarian Bag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Front Rack Forward Lunge,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Plate Overhead Forward Lunge,Intermediate,Weight Plate,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Front Rack Contralateral Forward Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Forward Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Overhead Contralateral Forward Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Overhead Contralateral Forward Lunge,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Goblet Forward Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Horn Grip Forward Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Zercher Forward Lunge,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Suitcase Ipsilateral Forward Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Front Rack Ipsilateral Forward Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Overhead Ipsilateral Forward Lunge,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Clubbell Order Ipsilateral Forward Lunge,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Suitcase Ipsilateral Forward Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Front Rack Ipsilateral Forward Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Forward Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Overhead Ipsilateral Forward Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Forward Lunge,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Alternating Single Arm Dumbbell Plank Pull Through,Intermediate,Dumbbell,Rectus Abdominis,Obliques,Core
Alternating Single Arm Dumbbell Feet Elevated Plank Pull Through,Intermediate,Dumbbell,Rectus Abdominis,Obliques,Core
Landmine Cyclist Thruster,Intermediate,Landmine,Quadriceps Femoris,Anterior Deltoids,Full Body
Single Arm Landmine Cyclist Thruster,Intermediate,Landmine,Quadriceps Femoris,Anterior Deltoids,Full Body
Clubbell Swing,Novice,Clubbell,Gluteus Maximus,,Full Body
Macebell Half Battle Lunge,Intermediate,Macebell,Quadriceps Femoris,Gluteus Maximus,Full Body
Clubbell Order Pivot Split Squat,Intermediate,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Macebell Order Pivot Split Squat,Intermediate,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Plate Assisted Hip Airplane,Intermediate,Bodyweight,Gluteus Medius,Gluteus Minimus,Lower Body
Macebell Battle Lunge,Intermediate,Macebell,Quadriceps Femoris,Gluteus Maximus,Full Body
Single Arm Kettlebell Tactical Half Snatch,Advanced,Kettlebell,Gluteus Maximus,Biceps Femoris,Full Body
Heavy Sandbag Shoulder Ipsilateral Forward Lunge,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Tall Kneeling Cuban Rotation,Intermediate,Barbell,Posterior Deltoids,Infraspinatus,Upper Body
Barbell Cuban Rotation,Intermediate,Barbell,Posterior Deltoids,Infraspinatus,Upper Body
Alternating Single Arm Landmine Tall Kneeling Shoulder Press,Intermediate,Landmine,Anterior Deltoids,,Upper Body
Barbell Feet Elevated Glute Bridge,Intermediate,Barbell,Gluteus Maximus,Biceps Femoris,Lower Body
Single Arm Kettlebell Tactical Snatch to Overhead Squat,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Full Body
Bodyweight Push Up to Alternating Lateral Kick Through,Intermediate,Bodyweight,Pectoralis Major,Rectus Abdominis,Upper Body
Double Dumbbell Single Leg Romanian Deadlift,Intermediate,Dumbbell,Biceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Contralateral Single Leg Romanian Deadlift,Intermediate,Dumbbell,Biceps Femoris,Gluteus Maximus,Lower Body
Dumbbell Crush Grip Single Leg Romanian Deadlift,Intermediate,Dumbbell,Biceps Femoris,Gluteus Maximus,Lower Body
Alternating Double Clubbell Pullover,Novice,Clubbell,Latissimus Dorsi,Posterior Deltoids,Upper Body
Barbell Tall Kneeling Bicep Curl,Novice,Barbell,Biceps Brachii,Brachialis,Upper Body
Dumbbell Tall Kneeling Overhead Tricep Extension,Beginner,Dumbbell,Triceps Brachii ,Anterior Deltoids,Upper Body
Clubbell Inside Circle to Shield Cast,Advanced,Clubbell,Posterior Deltoids,Rectus Abdominis,Full Body
Alternating Single Arm Clubbell Inside Circle to Shield Cast,Advanced,Clubbell,Posterior Deltoids,Rectus Abdominis,Full Body
Alternating Single Arm Kettlebell Snatch to Overhead Squat,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Full Body
Cable Prone Bench Single Leg Hamstring Curl,Novice,Cable,Biceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Tall Kneeling Cuban Rotation,Novice,Dumbbell,Posterior Deltoids,Infraspinatus,Upper Body
Macebell Single Leg Standing Bent Knee 360,Advanced,Macebell,Posterior Deltoids,Rectus Abdominis,Upper Body
Single Arm Macebell Single Leg Standing Bent Knee Ipsilateral 360,Advanced,Macebell,Posterior Deltoids,Rectus Abdominis,Upper Body
Alternating Single Arm Macebell 360 to Ballistic Curl,Intermediate,Macebell,Posterior Deltoids,Biceps Brachii,Upper Body
Double Dumbbell Suitcase Reverse Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Front Rack Reverse Lunge,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Overhead Reverse Lunge,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Heavy Sandbag Bear Hug Reverse Lunge,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Full Body
Heavy Sandbag Shoulder Contralateral Reverse Lunge,Intermediate,Heavy Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Back Rack Reverse Lunge,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Suitcase Reverse Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Front Rack Reverse Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Front Rack Reverse Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Front Rack Reverse Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Dumbbell Overhead Reverse Lunge,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Suitcase Contralateral Reverse Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Front Rack Contralateral Reverse Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Dumbbell Overhead Contralateral Reverse Lunge,Intermediate,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Overhead Reverse Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Dumbbell Goblet Reverse Lunge,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Clubbell Order Reverse Lunge,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Clubbell Order Reverse Lunge,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Clubbell Order Contralateral Reverse Lunge,Novice,Clubbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Macebell Order Reverse Lunge,Novice,Macebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Overhead Reverse Lunge,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Suitcase Contralateral Reverse Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Reverse Lunge,Beginner,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bulgarian Bag Back Rack Reverse Lunge,Novice,Bulgarian Bag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Sandbag Front Rack Reverse Lunge,Novice,Sandbag,Quadriceps Femoris,Gluteus Maximus,Lower Body
Plate Overhead Reverse Lunge,Intermediate,Weight Plate,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Front Rack Contralateral Reverse Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Reverse Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Overhead Contralateral Reverse Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Overhead Contralateral Reverse Lunge,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Goblet Reverse Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Horn Grip Reverse Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
